date,time,open,high,low,close,volume
2018-12-18,15:00:00,58.319,58.806,57.49,57.605,12964
2018-12-18,16:00:00,57.602,57.79,56.808,57.095,16555
2018-12-18,17:00:00,57.1,57.507,57.025,57.315,6708
2018-12-18,18:00:00,57.318,57.428,56.756,56.906,7372
2018-12-18,19:00:00,56.911,57.201,55.849,56.032,16317
2018-12-18,20:00:00,56.029,56.331,55.969,56.137,3084
2018-12-18,21:00:00,56.142,56.357,55.947,55.992,1382
2018-12-18,22:00:00,55.965,56.062,55.872,56.017,230
2018-12-19,01:00:00,56.672,56.784,56.292,56.502,2654
2018-12-19,02:00:00,56.498,56.537,56.227,56.502,2568
2018-12-19,03:00:00,56.497,56.622,56.368,56.378,1230
2018-12-19,04:00:00,56.375,56.448,56.358,56.443,739
2018-12-19,05:00:00,56.448,56.643,56.4,56.583,1694
2018-12-19,06:00:00,56.588,56.713,56.438,56.513,1766
2018-12-19,07:00:00,56.511,56.543,56.271,56.398,2556
2018-12-19,08:00:00,56.401,56.678,56.388,56.403,4526
2018-12-19,09:00:00,56.408,56.803,56.079,56.628,6279
2018-12-19,10:00:00,56.631,56.968,56.241,56.319,5888
2018-12-19,11:00:00,56.314,56.529,55.99,56.444,5637
2018-12-19,12:00:00,56.449,56.759,56.389,56.489,5026
2018-12-19,13:00:00,56.494,56.569,56.059,56.389,5066
2018-12-19,14:00:00,56.391,57.263,56.389,57.124,8596
2018-12-19,15:00:00,57.121,58.003,57.004,57.988,15041
2018-12-19,16:00:00,57.988,58.058,57.339,57.504,14298
2018-12-19,17:00:00,57.509,57.689,56.979,57.194,8708
2018-12-19,18:00:00,57.189,57.356,56.65,56.795,8201
2018-12-19,19:00:00,56.799,57.299,56.125,56.445,15695
2018-12-19,20:00:00,56.441,56.647,56.205,56.595,5410
2018-12-19,21:00:00,56.59,56.605,56.335,56.455,1006
2018-12-19,22:00:00,56.451,56.47,56.44,56.47,60
2018-12-20,01:00:00,56.501,56.706,56.486,56.546,2165
2018-12-20,02:00:00,56.551,56.651,56.421,56.561,1301
2018-12-20,03:00:00,56.565,56.586,56.311,56.346,1468
2018-12-20,04:00:00,56.342,56.391,56.067,56.137,2484
