date,time,open,high,low,close,volume
2018-05-31,07:00:00,77.269,77.539,77.219,77.529,1973
2018-05-31,08:00:00,77.524,77.609,77.299,77.339,1694
2018-05-31,09:00:00,77.349,77.459,77.199,77.239,1086
2018-05-31,10:00:00,77.236,77.509,77.181,77.419,1368
2018-05-31,11:00:00,77.414,77.909,77.379,77.839,3761
2018-05-31,12:00:00,77.836,78.219,77.629,78.134,4701
2018-05-31,13:00:00,78.131,78.609,77.839,78.229,12749
2018-05-31,14:00:00,78.224,78.394,78.099,78.384,4260
2018-05-31,15:00:00,78.388,79.174,77.649,77.829,17479
2018-05-31,16:00:00,77.826,78.189,77.709,77.844,7018
2018-05-31,17:00:00,77.849,77.879,77.136,77.179,6028
2018-05-31,18:00:00,77.176,77.906,76.959,77.849,7019
2018-05-31,19:00:00,77.853,77.879,77.649,77.679,1348
2018-05-31,20:00:00,77.679,77.809,77.559,77.794,955
2018-05-31,21:00:00,77.729,77.729,77.534,77.634,191
2018-06-01,00:00:00,77.754,77.784,77.549,77.594,1076
2018-06-01,01:00:00,77.599,77.684,77.519,77.529,758
2018-06-01,02:00:00,77.524,77.559,77.429,77.499,434
2018-06-01,03:00:00,77.496,77.529,77.369,77.389,414
2018-06-01,04:00:00,77.394,77.479,77.389,77.479,177
2018-06-01,05:00:00,77.484,77.484,77.349,77.419,337
2018-06-01,06:00:00,77.423,77.809,77.423,77.789,838
2018-06-01,07:00:00,77.784,77.789,77.474,77.629,1452
2018-06-01,08:00:00,77.624,77.809,77.587,77.669,2078
2018-06-01,09:00:00,77.673,77.946,77.469,77.539,1631
2018-06-01,10:00:00,77.544,77.879,77.519,77.854,2637
2018-06-01,11:00:00,77.856,77.889,77.419,77.519,2079
2018-06-01,12:00:00,77.524,77.559,76.809,77.079,4684
2018-06-01,13:00:00,77.084,77.249,76.729,76.799,5728
2018-06-01,14:00:00,76.794,76.954,76.539,76.809,5912
2018-06-01,15:00:00,76.814,76.874,76.349,76.704,5019
2018-06-01,16:00:00,76.699,77.159,76.569,77.159,3921
2018-06-01,17:00:00,77.164,77.184,76.924,77.034,3641
2018-06-01,18:00:00,77.039,77.129,76.715,76.744,4211
2018-06-01,19:00:00,76.739,76.754,76.509,76.539,1188
2018-06-01,20:00:00,76.535,76.738,76.514,76.609,654
2018-06-04,00:00:00,76.537,76.73,76.515,76.635,1195
2018-06-04,01:00:00,76.639,76.755,76.54,76.66,1272
2018-06-04,02:00:00,76.665,76.69,76.495,76.555,691
2018-06-04,03:00:00,76.552,76.605,76.492,76.51,861
2018-06-04,04:00:00,76.503,76.525,76.42,76.425,593
