date,time,open,high,low,close,volume
2019-01-15,04:45:00,59.526,59.531,59.481,59.481,129
2019-01-15,05:00:00,59.477,59.511,59.466,59.501,146
2019-01-15,05:15:00,59.504,59.541,59.501,59.511,95
2019-01-15,05:30:00,59.514,59.666,59.514,59.626,530
2019-01-15,05:45:00,59.621,59.696,59.601,59.676,415
2019-01-15,06:00:00,59.681,59.731,59.641,59.686,287
2019-01-15,06:15:00,59.682,59.682,59.586,59.636,355
2019-01-15,06:30:00,59.639,59.691,59.611,59.676,260
2019-01-15,06:45:00,59.672,59.686,59.617,59.627,261
2019-01-15,07:00:00,59.624,59.627,59.522,59.562,461
2019-01-15,07:15:00,59.559,59.589,59.482,59.482,312
2019-01-15,07:30:00,59.478,59.527,59.412,59.447,385
2019-01-15,07:45:00,59.45,59.502,59.343,59.348,502
2019-01-15,08:00:00,59.345,59.532,59.333,59.373,1212
2019-01-15,08:15:00,59.37,59.403,59.114,59.163,2158
2019-01-15,08:30:00,59.166,59.263,59.054,59.243,1339
2019-01-15,08:45:00,59.241,59.313,59.034,59.099,1057
2019-01-15,09:00:00,59.103,59.233,58.954,59.079,1290
2019-01-15,09:15:00,59.075,59.301,59.029,59.293,1149
2019-01-15,09:30:00,59.289,59.453,59.201,59.244,1106
2019-01-15,09:45:00,59.241,59.358,59.224,59.319,802
2019-01-15,10:00:00,59.324,59.324,59.192,59.229,603
2019-01-15,10:15:00,59.224,59.364,59.12,59.129,877
2019-01-15,10:30:00,59.124,59.294,59.124,59.284,592
2019-01-15,10:45:00,59.277,59.628,59.264,59.608,1117
2019-01-15,11:00:00,59.613,59.733,59.558,59.583,1063
2019-01-15,11:15:00,59.579,59.883,59.573,59.757,1023
2019-01-15,11:30:00,59.763,59.833,59.681,59.733,585
2019-01-15,11:45:00,59.736,59.743,59.524,59.559,1090
2019-01-15,12:00:00,59.556,59.574,59.344,59.414,1015
2019-01-15,12:15:00,59.41,59.569,59.404,59.544,701
2019-01-15,12:30:00,59.548,59.649,59.514,59.579,815
2019-01-15,12:45:00,59.574,59.744,59.569,59.744,635
2019-01-15,13:00:00,59.748,59.834,59.644,59.774,1511
2019-01-15,13:15:00,59.771,59.863,59.704,59.759,982
2019-01-15,13:30:00,59.756,59.764,59.569,59.644,1196
2019-01-15,13:45:00,59.647,59.674,59.52,59.525,1003
2019-01-15,14:00:00,59.522,60.013,59.46,59.909,3162
2019-01-15,14:15:00,59.914,59.934,59.689,59.729,1730
2019-01-15,14:30:00,59.732,60.273,59.729,60.183,3362
2019-01-15,14:45:00,60.188,60.233,59.944,60.034,2715
2019-01-15,15:00:00,60.038,60.158,59.924,60.014,3250
2019-01-15,15:15:00,60.009,60.059,59.829,59.894,2479
2019-01-15,15:30:00,59.897,60.323,59.874,60.253,3152
2019-01-15,15:45:00,60.256,60.316,60.029,60.099,2228
2019-01-15,16:00:00,60.094,60.214,59.93,59.969,2377
2019-01-15,16:15:00,59.972,60.124,59.725,59.745,3437
2019-01-15,16:30:00,59.75,59.915,59.67,59.825,1935
2019-01-15,16:45:00,59.821,59.91,59.75,59.885,1096
2019-01-15,17:00:00,59.89,60.072,59.835,60.035,1523
2019-01-15,17:15:00,60.04,60.085,59.975,60.06,1208
2019-01-15,17:30:00,60.065,60.189,59.98,60.05,1722
2019-01-15,17:45:00,60.047,60.075,59.995,60.005,673
2019-01-15,18:00:00,60.007,60.095,59.935,60.06,608
2019-01-15,18:15:00,60.055,60.265,60.05,60.24,1343
2019-01-15,18:30:00,60.245,60.374,60.145,60.17,1408
2019-01-15,18:45:00,60.175,60.297,60.095,60.285,809
2019-01-15,19:00:00,60.282,60.382,60.225,60.24,1241
2019-01-15,19:15:00,60.235,60.691,60.225,60.385,3388
2019-01-15,19:30:00,60.389,60.389,60.19,60.205,944
2019-01-15,19:45:00,60.201,60.285,60.185,60.285,494
2019-01-15,20:00:00,60.28,60.365,60.275,60.355,259
2019-01-15,20:15:00,60.36,60.455,60.36,60.415,291
2019-01-15,20:30:00,60.41,60.502,60.395,60.485,197
2019-01-15,20:45:00,60.48,60.5,60.44,60.46,291
2019-01-15,21:00:00,60.46,60.485,60.42,60.42,113
2019-01-15,21:15:00,60.425,60.52,60.41,60.42,187
2019-01-15,21:30:00,60.425,60.43,60.281,60.371,277
2019-01-15,21:45:00,60.375,60.445,60.361,60.381,127
2019-01-15,22:00:00,60.416,60.451,60.386,60.436,31
2019-01-15,22:15:00,60.431,60.436,60.426,60.431,5
2019-01-15,22:30:00,60.426,60.426,60.361,60.391,11
2019-01-15,22:45:00,60.401,60.406,60.391,60.401,17
2019-01-16,01:00:00,60.227,60.24,60.073,60.158,1093
2019-01-16,01:15:00,60.155,60.218,60.103,60.178,615
2019-01-16,01:30:00,60.183,60.317,60.061,60.273,594
2019-01-16,01:45:00,60.27,60.447,60.268,60.422,508
2019-01-16,02:00:00,60.425,60.477,60.372,60.372,635
2019-01-16,02:15:00,60.377,60.462,60.367,60.437,176
2019-01-16,02:30:00,60.44,60.525,60.432,60.467,373
2019-01-16,02:45:00,60.462,60.462,60.383,60.418,283
2019-01-16,03:00:00,60.415,60.443,60.393,60.418,236
2019-01-16,03:15:00,60.413,60.453,60.358,60.383,217
2019-01-16,03:30:00,60.378,60.378,60.261,60.283,255
2019-01-16,03:45:00,60.289,60.353,60.289,60.333,97
2019-01-16,04:00:00,60.338,60.383,60.338,60.361,99
2019-01-16,04:15:00,60.366,60.463,60.358,60.463,282
2019-01-16,04:30:00,60.458,60.533,60.448,60.483,491
2019-01-16,04:45:00,60.478,60.503,60.453,60.473,146
2019-01-16,05:00:00,60.469,60.583,60.458,60.553,228
2019-01-16,05:15:00,60.548,60.588,60.523,60.548,217
2019-01-16,05:30:00,60.544,60.563,60.479,60.533,463
2019-01-16,05:45:00,60.536,60.608,60.504,60.554,351
2019-01-16,06:00:00,60.558,60.628,60.534,60.574,495
2019-01-16,06:15:00,60.578,60.736,60.574,60.574,798
2019-01-16,06:30:00,60.571,60.589,60.494,60.519,303
2019-01-16,06:45:00,60.514,60.619,60.489,60.549,354
2019-01-16,07:00:00,60.554,60.669,60.509,60.614,505
2019-01-16,07:15:00,60.619,60.741,60.584,60.684,418
2019-01-16,07:30:00,60.689,60.731,60.619,60.659,387
2019-01-16,07:45:00,60.652,60.709,60.554,60.579,456
2019-01-16,08:00:00,60.584,60.709,60.472,60.609,1086
2019-01-16,08:15:00,60.604,60.784,60.545,60.659,1708
2019-01-16,08:30:00,60.664,60.874,60.659,60.799,1087
2019-01-16,08:45:00,60.803,61.058,60.803,60.921,1561
