Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2007-01-02,63.37,64.08,62.96,63.18,-0.43,,4692.0,20451.0,0.0,0.0,0.0
2007-01-03,63.2,63.2,60.56,60.66,-2.52,,8967.0,20652.0,0.0,0.0,0.0
2007-01-04,60.87,60.99,57.77,57.97,-2.69,,8774.0,22375.0,0.0,0.0,0.0
2007-01-05,57.91,58.65,57.36,58.72,0.75,,10985.0,23716.0,0.0,0.0,0.0
2007-01-08,59.07,59.97,57.85,58.76,0.04,,9955.0,25141.0,0.0,0.0,0.0
2007-01-09,58.43,58.46,56.71,58.26,-0.5,,18228.0,24557.0,0.0,0.0,600.0
2007-01-10,58.05,58.05,56.31,56.37,-1.89,,11889.0,26924.0,0.0,0.0,500.0
2007-01-11,55.71,56.43,54.08,54.08,-2.29,,14408.0,29146.0,0.0,0.0,600.0
2007-01-12,54.91,55.29,53.65,54.81,0.73,,11336.0,29594.0,0.0,0.0,900.0
2007-01-15,55.0,55.44,54.29,54.8,-0.01,,4890.0,30983.0,0.0,50.0,0.0
2007-01-16,54.5,54.97,52.77,53.08,-1.72,,18854.0,30981.0,0.0,0.0,0.0
2007-01-17,53.3,54.19,51.98,53.97,0.89,,19587.0,29820.0,0.0,0.0,1100.0
2007-01-18,54.79,54.94,53.06,53.72,-0.77,,14352.0,43557.0,0.0,100.0,1150.0
2007-01-19,53.82,55.1,53.81,55.43,1.71,,13401.0,43689.0,0.0,200.0,650.0
2007-01-22,55.75,56.53,54.66,54.99,-0.44,,9345.0,44723.0,0.0,0.0,1600.0
2007-01-23,55.1,56.89,55.1,57.02,2.03,,7899.0,45260.0,0.0,0.0,600.0
2007-01-24,56.71,57.2,55.55,57.12,0.1,,17164.0,45186.0,0.0,200.0,4600.0
2007-01-25,57.0,57.66,56.13,56.15,-0.97,,7732.0,46152.0,0.0,0.0,500.0
2007-01-26,56.45,57.35,56.35,57.32,1.17,,7403.0,46086.0,0.0,0.0,0.0
2007-01-29,57.77,57.77,55.89,55.87,-1.45,,6900.0,45804.0,0.0,0.0,0.0
2007-01-30,55.9,58.52,55.9,58.58,2.71,,11111.0,44973.0,0.0,0.0,550.0
2007-01-31,58.26,59.79,57.8,59.8,1.22,,15544.0,45165.0,0.0,0.0,5600.0
2007-02-01,59.68,60.16,59.01,59.11,-0.69,,13722.0,48684.0,0.0,0.0,500.0
2007-02-02,59.4,60.65,59.08,60.78,1.67,,6548.0,48079.0,0.0,0.0,400.0
2007-02-05,60.5,61.54,60.34,60.45,-0.33,,9612.0,47960.0,0.0,0.0,50.0
2007-02-06,60.85,61.43,59.93,60.24,-0.21,,17839.0,49171.0,0.0,116.0,0.0
2007-02-07,60.61,60.85,58.61,58.96,-1.28,,18105.0,48742.0,0.0,0.0,3870.0
2007-02-08,59.59,61.2,58.91,61.1,2.14,,11551.0,51434.0,0.0,0.0,3050.0
