Date,Open,High,Low,Settle,Volume,1,2,3,4,5
20-09-2010,1.33468,1.33617,1.33332,1.33562,81201,0,0,0,0,0
21-09-2010,1.33561,1.34142,1.32901,1.34026,107071,0,0,0,0,0
22-09-2010,1.34028,1.34121,1.31429,1.31709,125259,0,0,0,0,0
23-09-2010,1.31707,1.32648,1.31131,1.32106,99368,0,0,0,0,0
24-09-2010,1.32105,1.32771,1.3183,1.32632,78876,0,0,0,0,0
26-09-2010,1.32634,1.33407,1.32239,1.32934,4252,0,0,0,0,0
27-09-2010,1.33544,1.33595,1.33115,1.3319,68916,0,0,0,0,0
28-09-2010,1.33188,1.33245,1.3153,1.31974,102727,0,0,0,0,0
29-09-2010,1.31975,1.32123,1.29607,1.29646,119137,0,0,0,0,0
30-09-2010,1.29645,1.29947,1.27881,1.28126,185919,0,0,0,0,0
01-10-2010,1.28125,1.28552,1.25205,1.2626,189721,0,0,0,0,0
03-10-2010,1.26258,1.27969,1.25848,1.27504,18249,0,0,0,0,0
04-10-2010,1.28947,1.29476,1.27505,1.28763,171185,0,0,0,0,0
05-10-2010,1.2876,1.30913,1.27573,1.27781,154889,0,0,0,0,0
06-10-2010,1.2778,1.28015,1.26145,1.26379,136928,0,0,0,0,0
07-10-2010,1.2638,1.27377,1.26041,1.26448,114138,0,0,0,0,0
08-10-2010,1.26447,1.26831,1.25152,1.25308,133747,0,0,0,0,0
10-10-2010,1.25309,1.25743,1.2353,1.23572,7233,0,0,0,0,0
11-10-2010,1.2341,1.23713,1.23394,1.23575,158297,0,0,0,0,0
12-10-2010,1.23576,1.24128,1.2233,1.23814,166776,0,0,0,0,0
13-10-2010,1.23817,1.24429,1.21425,1.21431,176588,0,0,0,0,0
14-10-2010,1.21429,1.243,1.21429,1.23836,159356,0,0,0,0,0
15-10-2010,1.23835,1.25964,1.2295,1.25388,154399,0,0,0,0,0
17-10-2010,1.25387,1.2671,1.24701,1.2571,5953,0,0,0,0,0
18-10-2010,1.25369,1.25621,1.25047,1.25105,110081,0,0,0,0,0
19-10-2010,1.25104,1.25372,1.23309,1.23373,149090,0,0,0,0,0
20-10-2010,1.23374,1.23865,1.21768,1.23313,134343,0,0,0,0,0
21-10-2010,1.23314,1.23427,1.21525,1.21821,149131,0,0,0,0,0
22-10-2010,1.2182,1.23931,1.21812,1.2366,122941,0,0,0,0,0
